(-0.046515, 0.036110, -0.179588),(0.103645, 0.081243, 0.004907, 0.991279),(-0.046704, 0.042275, 0.115312),(0.061173, 0.081600, -0.005018, 0.994773),(0.0, 0.0, 0.1),(0.161733, -0.122525, 0.979199),(0.063359, -0.041106, 0.781678),
(-0.046407, 0.036350, -0.179696),(0.103083, 0.081125, 0.004752, 0.991348),(-0.046641, 0.042242, 0.115299),(0.061298, 0.081620, -0.005029, 0.994764),(0.0, 0.0, 0.1),(0.161769, -0.122775, 0.979161),(0.063458, -0.041319, 0.781716),
(-0.046362, 0.036325, -0.179873),(0.102574, 0.081016, 0.004352, 0.991411),(-0.046575, 0.042215, 0.115268),(0.061363, 0.081634, -0.005036, 0.994759),(0.0, 0.0, 0.1),(0.161794, -0.122906, 0.979141),(0.063554, -0.041444, 0.781745),
(-0.046339, 0.036476, -0.179882),(0.102538, 0.081106, 0.004293, 0.991408),(-0.046507, 0.042198, 0.115221),(0.061385, 0.081645, -0.005038, 0.994757),(0.0, 0.0, 0.1),(0.161815, -0.122949, 0.979132),(0.063649, -0.041500, 0.781769),
(-0.046243, 0.036519, -0.179882),(0.102441, 0.081083, 0.004394, 0.991419),(-0.046437, 0.042190, 0.115165),(0.061375, 0.081652, -0.005038, 0.994757),(0.0, 0.0, 0.1),(0.161830, -0.122930, 0.979132),(0.063742, -0.041504, 0.781788),
(-0.046218, 0.036533, -0.179817),(0.102361, 0.081255, 0.004128, 0.991415),(-0.046371, 0.042192, 0.115111),(0.061350, 0.081663, -0.005036, 0.994757),(0.0, 0.0, 0.1),(0.161852, -0.122879, 0.979135),(0.063834, -0.041476, 0.781805),
(-0.046284, 0.036441, -0.179782),(0.102452, 0.081451, 0.004287, 0.991389),(-0.046312, 0.042199, 0.115066),(0.061318, 0.081687, -0.005035, 0.994757),(0.0, 0.0, 0.1),(0.161900, -0.122816, 0.979135),(0.063936, -0.041435, 0.781822),
(-0.046340, 0.036429, -0.179617),(0.102891, 0.081492, 0.004351, 0.991339),(-0.046261, 0.042207, 0.115035),(0.061305, 0.081721, -0.005036, 0.994755),(0.0, 0.0, 0.1),(0.161967, -0.122791, 0.979127),(0.064042, -0.041416, 0.781842),
(-0.046412, 0.036416, -0.179467),(0.103288, 0.081265, 0.004364, 0.991317),(-0.046218, 0.042212, 0.115021),(0.061319, 0.081747, -0.005039, 0.994752),(0.0, 0.0, 0.1),(0.162019, -0.122819, 0.979115),(0.064127, -0.041436, 0.781861),
(-0.046483, 0.036304, -0.179314),(0.103949, 0.081008, 0.004413, 0.991268),(-0.046188, 0.042211, 0.115022),(0.061373, 0.081759, -0.005044, 0.994748),(0.0, 0.0, 0.1),(0.162041, -0.122926, 0.979098),(0.064176, -0.041513, 0.781877),
(-0.046561, 0.036494, -0.179253),(0.104179, 0.080906, 0.004453, 0.991252),(-0.046172, 0.042209, 0.115041),(0.061464, 0.081758, -0.005052, 0.994742),(0.0, 0.0, 0.1),(0.162035, -0.123108, 0.979076),(0.064190, -0.041640, 0.781890),
(-0.046600, 0.036524, -0.179143),(0.104250, 0.081154, 0.004561, 0.991224),(-0.046166, 0.042207, 0.115073),(0.061574, 0.081758, -0.005061, 0.994736),(0.0, 0.0, 0.1),(0.162032, -0.123328, 0.979048),(0.064195, -0.041792, 0.781904),
(-0.046663, 0.036554, -0.179081),(0.104257, 0.081413, 0.004741, 0.991201),(-0.046165, 0.042208, 0.115114),(0.061685, 0.081771, -0.005071, 0.994728),(0.0, 0.0, 0.1),(0.162054, -0.123550, 0.979017),(0.064209, -0.041941, 0.781919),
(-0.046728, 0.036602, -0.178956),(0.104252, 0.081562, 0.005041, 0.991188),(-0.046170, 0.042214, 0.115160),(0.061791, 0.081797, -0.005081, 0.994719),(0.0, 0.0, 0.1),(0.162101, -0.123760, 0.978983),(0.064235, -0.042077, 0.781936),
(-0.046827, 0.036534, -0.178944),(0.104359, 0.081310, 0.005245, 0.991197),(-0.046181, 0.042221, 0.115208),(0.061887, 0.081818, -0.005090, 0.994711),(0.0, 0.0, 0.1),(0.162141, -0.123952, 0.978952),(0.064249, -0.042200, 0.781948),
(-0.046832, 0.036446, -0.178942),(0.104529, 0.081075, 0.005476, 0.991197),(-0.046200, 0.042227, 0.115255),(0.061980, 0.081829, -0.005099, 0.994704),(0.0, 0.0, 0.1),(0.162159, -0.124137, 0.978925),(0.064239, -0.042317, 0.781956),
(-0.046816, 0.036472, -0.178988),(0.104804, 0.081046, 0.005610, 0.991169),(-0.046220, 0.042228, 0.115296),(0.062073, 0.081830, -0.005107, 0.994698),(0.0, 0.0, 0.1),(0.162158, -0.124324, 0.978902),(0.064215, -0.042441, 0.781961),
(-0.046792, 0.036401, -0.179108),(0.104850, 0.081082, 0.005701, 0.991161),(-0.046239, 0.042227, 0.115330),(0.062161, 0.081829, -0.005114, 0.994693),(0.0, 0.0, 0.1),(0.162154, -0.124500, 0.978880),(0.064192, -0.042560, 0.781967),
(-0.046747, 0.036368, -0.179153),(0.104735, 0.081277, 0.005928, 0.991156),(-0.046253, 0.042222, 0.115352),(0.062236, 0.081832, -0.005120, 0.994688),(0.0, 0.0, 0.1),(0.162157, -0.124649, 0.978860),(0.064179, -0.042666, 0.781973),
(-0.046768, 0.036475, -0.179289),(0.104538, 0.081242, 0.005844, 0.991180),(-0.046264, 0.042218, 0.115364),(0.062292, 0.081836, -0.005125, 0.994684),(0.0, 0.0, 0.1),(0.162164, -0.124761, 0.978845),(0.064173, -0.042747, 0.781978),
(-0.046723, 0.036680, -0.179292),(0.104053, 0.081142, 0.005628, 0.991240),(-0.046272, 0.042217, 0.115369),(0.062323, 0.081837, -0.005128, 0.994682),(0.0, 0.0, 0.1),(0.162165, -0.124822, 0.978837),(0.064167, -0.042789, 0.781980),
(-0.046755, 0.036529, -0.179356),(0.103487, 0.081018, 0.004863, 0.991314),(-0.046277, 0.042219, 0.115368),(0.062332, 0.081836, -0.005128, 0.994682),(0.0, 0.0, 0.1),(0.162162, -0.124839, 0.978835),(0.064159, -0.042800, 0.781980),
(-0.046699, 0.036441, -0.179390),(0.103826, 0.081529, 0.005404, 0.991234),(-0.046280, 0.042220, 0.115365),(0.062335, 0.081839, -0.005129, 0.994681),(0.0, 0.0, 0.1),(0.162168, -0.124846, 0.978833),(0.064506, -0.043069, 0.784063),
(-0.046792, 0.036529, -0.179391),(0.103852, 0.081749, 0.005770, 0.991211),(-0.046284, 0.042222, 0.115360),(0.062336, 0.081849, -0.005129, 0.994680),(0.0, 0.0, 0.1),(0.162189, -0.124849, 0.978830),(0.064518, -0.043071, 0.784066),
(-0.046883, 0.036460, -0.179422),(0.103957, 0.081537, 0.005733, 0.991217),(-0.046288, 0.042224, 0.115356),(0.062337, 0.081861, -0.005130, 0.994679),(0.0, 0.0, 0.1),(0.162211, -0.124850, 0.978826),(0.064532, -0.043071, 0.784069),
(-0.046863, 0.036502, -0.179368),(0.104193, 0.081278, 0.005758, 0.991214),(-0.046292, 0.042225, 0.115351),(0.062341, 0.081869, -0.005131, 0.994678),(0.0, 0.0, 0.1),(0.162227, -0.124858, 0.978822),(0.064539, -0.043076, 0.784071),
(-0.046851, 0.036632, -0.179282),(0.104087, 0.081262, 0.005874, 0.991225),(-0.046298, 0.042227, 0.115347),(0.062346, 0.081874, -0.005132, 0.994678),(0.0, 0.0, 0.1),(0.162237, -0.124868, 0.978819),(0.064542, -0.043083, 0.784072),
